Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Democratic Republic of the Congo,80254549.0,64803426.57,58075968.49,15451122.43,80254549.0,62809644.49,49207630.47,17444904.509999998,80254549.0,62912904.79,44395489.98,17341644.21,80254549.0,54382132.05,36572165.67,25872416.95,80254549.0,65013550.9,59133449.84,15240998.100000001,80254549.0,62168047.35,46294475.330000006,18086501.65,80254549.0,67660886.6,49982204.49,12593662.4,80254549.0,56800636.31,45813019.98,23453912.69,53312493.0,48199350.88,35070921.43,5113142.119999998
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,183000.0,140573.31,125759.29000000001,42426.69000000001,183000.0,148090.41,119735.31,34909.59,183000.0,132040.56,113643.12,50959.44,183000.0,142769.02,95247.20000000001,40230.98,183000.0,142967.31,95040.83,40032.69,93000.0,70312.31999999999,46813.97,22687.68,33000.0,25913.0,22023.11,7087.0,33000.0,24692.57,17518.72,8307.43,20001.0,12523.01,10817.74,7477.990000000001
Gambia,17863.0,13023.960000000001,10523.52,4839.039999999999,17863.0,15246.2,10546.279999999999,2616.8,17863.0,15765.529999999999,11572.02,2097.4700000000003,17863.0,16116.880000000001,12896.66,1746.12,17863.0,12895.44,10113.51,4967.5599999999995,17863.0,15351.279999999999,9381.02,2511.720000000001,17863.0,15432.25,11762.650000000001,2430.7500000000005,17863.0,14994.07,11199.64,2868.9300000000003,17863.0,13402.24,11711.41,4460.76
Ghana,43300.0,38814.32,35955.5,4485.68,43300.0,34921.34,24333.56,8378.660000000003,43300.0,27591.76,18213.15,15708.240000000002,43300.0,28983.15,26441.91,14316.849999999999,43300.0,28704.73,18537.02,14595.27,43300.0,30023.44,28512.04,13276.560000000001,43300.0,35952.87,25840.49,7347.129999999997,43300.0,32339.68,24214.49,10960.32,43300.0,31114.33,23709.4,12185.669999999998
Guinea,2032742.0,1266702.3199999998,899218.21,766039.6800000002,2032742.0,1435709.4899999998,1327339.4600000002,597032.51,2032742.0,1573419.68,991848.3400000001,459322.32000000007,2032742.0,1578138.22,1069734.8699999999,454603.78,2032742.0,1852641.73,1343089.2099999997,180100.27,2012742.0,1687334.71,1384555.9100000001,325407.2900000001,1975742.0,1545618.53,1021426.79,430123.47,1936846.0,1749336.5499999998,1404752.39,187509.45000000007,1936846.0,1311417.74,1213920.1899999997,625428.26
Kenya,1300800.0,1189239.24,822116.1299999999,111560.75999999997,1300800.0,915049.45,688060.43,385750.55000000005,1300800.0,1211269.77,1117475.44,89530.22999999992,2059885.35,1910552.23,1525133.21,149333.12000000005,1461885.35,1243958.5699999998,1029315.96,217926.78000000006,1461885.35,1144899.83,892800.9299999999,316985.52,1786106.6875,1330488.32,1052172.58,455618.36750000005,1786106.6875,1467748.5799999998,1248270.78,318358.1075000001,1786106.6875,1520244.6099999999,1290716.24,265862.07750000013
Lesotho,14000.0,10790.45,7700.6,3209.5499999999993,14000.0,12799.52,9019.88,1200.4799999999996,14000.0,13288.86,9739.88,711.1399999999994,14000.0,11966.15,7848.3,2033.8500000000004,14000.0,12406.03,8689.31,1593.9699999999993,14000.0,11034.38,10172.56,2965.620000000001,14000.0,12388.39,11633.34,1611.6100000000006,14000.0,13240.55,10711.75,759.4500000000007,8000.0,6136.71,3953.09,1863.29
Liberia,290000.0,238213.68,163124.72,51786.32000000001,290000.0,244065.23,173085.84999999998,45934.76999999999,290000.0,237646.87,212938.34000000003,52353.130000000005,290000.0,239950.1,179359.97,50049.899999999994,290000.0,185140.37,138360.39,104859.62999999999,290000.0,235422.78,182841.11,54577.22,330000.0,291515.38,260165.24,38484.619999999995,130000.0,101878.39,81102.33,28121.61,129000.0,89416.76000000001,74530.91,39583.24
Libya,983000.0,823615.37,714393.71,159384.63000000003,983000.0,646942.69,462948.25,336057.31,983000.0,781223.15,616801.63,201776.85,983000.0,665937.4299999999,548124.9400000001,317062.57,983000.0,878488.25,613403.72,104511.75000000003,983000.0,819693.65,754989.88,163306.34999999995,983000.0,851156.36,618335.1,131843.63999999998,983000.0,767486.94,551423.68,215513.06000000006,832600.0,703883.54,433500.74,128716.45999999998
Madagascar,1490000.0,1165668.74,822957.0700000001,324331.25999999995,1490000.0,1063437.77,653146.9299999999,426562.23000000004,1490000.0,1235390.57,917584.28,254609.42999999993,1490000.0,1128343.2,896213.6499999999,361656.80000000005,1490000.0,1173906.3,828629.86,316093.69999999995,1490000.0,960006.7,805933.77,529993.3,4245000.0,3867750.04,3063344.58,377249.9600000001,773000.0,686636.89,531908.09,86363.10999999996,772700.0,616607.3099999999,540687.2999999999,156092.69000000006
Malawi,1318356.0,1156958.91,996777.74,161397.09000000008,1318356.0,840822.28,616185.08,477533.72,1318356.0,1215843.15,855274.39,102512.8500000001,1318356.0,900987.77,636762.25,417368.23,1318356.0,954296.18,732993.73,364059.81999999995,1318356.0,885332.82,616023.29,433023.18000000005,1318356.0,859532.46,763036.0,458823.54000000004,1318356.0,1132388.73,911178.58,185967.27000000002,1318356.0,1027052.25,955692.01,291303.75
Mali,4795219.0,3847643.13,3121479.73,947575.87,4795219.0,3660082.1999999997,2856821.3400000003,1135136.8,4795219.0,3711690.42,2840780.56,1083528.58,4795219.0,3789923.3,3023454.13,1005295.7000000001,4795219.0,3998007.39,2650269.92,797211.61,4350219.0,3773341.84,2986163.42,576877.1600000001,3217551.882352941,2466510.62,1972474.89,751041.2623529412,3217551.882352941,2351173.78,1805227.0,866378.1023529413,3217551.882352941,2257855.9,1693258.81,959695.9823529412
Mauritania,924000.0,650121.53,581313.38,273878.47000000003,924000.0,750529.43,475314.05,173470.56999999998,924000.0,796547.7200000001,613048.22,127452.27999999997,924000.0,801950.9800000001,669193.0399999999,122049.01999999996,924000.0,826085.1900000001,580575.08,97914.80999999997,924000.0,643261.8200000001,416603.35,280738.18,924000.0,640263.01,503835.89999999997,283736.99,434729.3333333333,298091.57,213802.48,136637.76333333334,422729.3333333333,307815.16,223840.59,114914.17333333331
Morocco,1800000.0,1424129.11,914615.82,375870.88999999996,1800000.0,1533094.48,1382671.28,266905.51999999996,1800000.0,1335310.92,1034243.5,464689.08,1099000.0,896387.6199999999,564622.73,202612.38000000006,2442395.3,1960800.33,1475340.3599999999,481594.97,2355728.6333333333,1770209.3399999999,1385151.74,585519.2933333335,3229860.4,2566220.4299999997,2030870.6400000001,663639.97,3229860.4,2314468.62,1861023.77,915391.78,3229860.4,2239738.75,1788949.28,990121.65
Mozambique,3133242.96,2310543.17,1794097.09,822699.7899999999,3133242.96,2370024.58,1830315.44,763218.3799999999,3133242.96,2399129.57,1852365.09,734113.3899999999,3133242.96,2428018.57,1787439.49,705224.39,3133242.96,2442434.76,1919122.96,690808.2,2539846.0,2134318.1,1696655.41,405527.9,2310735.0,1780133.6400000001,1342233.56,530601.36,2580804.0,2064778.06,1605523.09,516025.93999999994,1945671.5,1464570.98,1023171.6100000001,481100.52
Namibia,456700.0,378879.38,295098.01,77820.62000000001,456700.0,351971.86000000004,300243.73,104728.13999999998,456700.0,343599.79,242710.61000000002,113100.20999999999,456700.0,381197.32,295027.7,75502.68,456700.0,310971.48,251734.88,145728.52000000002,456700.0,344474.06,253684.66000000003,112225.93999999999,456700.0,352224.52,239623.89,104475.47999999998,456700.0,359758.55,250334.21000000002,96941.45000000001,456700.0,379291.3,262634.62,77408.7
Nigeria,365000.0,321195.28,249365.18000000002,43804.71999999998,365000.0,312302.84,245740.0,52697.159999999996,365000.0,299350.61,215388.94,65649.38999999998,365000.0,331064.85,230190.93,33935.15000000002,185000.0,137414.27000000002,92781.43,47585.729999999996,107000.0,84523.98,67059.63,22476.02,107000.0,88256.51000000001,79087.1,18743.489999999998,107000.0,88010.89,62715.66,18989.109999999997,167000.0,124328.7,92349.63,42671.3
Rwanda,1500000.0,1020023.17,812544.47,479976.82999999996,1500000.0,1013975.38,751778.12,486024.62,1500000.0,1292974.57,994714.77,207025.42999999996,1856180.0,1355751.65,991868.85,500428.35,1591000.0,1197643.32,968008.74,393356.68,1503000.0,1247279.46,1065384.68,255720.54000000004,1255000.0,1014092.72,782057.31,240907.27999999997,470820.0,401983.99,255932.01,68836.01,435820.0,306790.76,232025.2,129029.23999999999
Senegal,1770577.0,1413111.55,1151310.93,357465.44999999995,1770577.0,1425963.32,1152142.73,344613.68000000005,1770577.0,1385969.4000000001,1013651.6100000001,384607.6,1770577.0,1395977.08,1079880.27,374599.92,1730577.0,1354415.23,1053872.99,376161.77,2054077.0,1662771.28,1291692.0799999998,391305.72000000003,2054077.0,1601490.16,1240293.2,452586.84,1699302.5454545454,1218994.51,963489.24,480308.03545454546,1739798.8571428573,1306234.87,993147.11,433563.98714285716
Seychelles,50000.0,38056.84,28310.41,11943.160000000003,50000.0,40829.25,24791.75,9170.75,50000.0,34070.87,27392.99,15929.129999999997,50000.0,43198.01,37314.64,6801.989999999998,50000.0,32680.81,28148.31,17319.19,50000.0,46961.11,36271.91,3038.8899999999994,50000.0,36440.5,26496.58,13559.5,50000.0,40486.86,34893.36,9513.14,50000.0,40556.66,36547.98,9443.339999999997
Sierra Leone,249390.0,167238.84,115020.44,82151.16,249390.0,204267.19,170145.61000000002,45122.80999999998,249390.0,202389.15,140628.44,47000.850000000006,249390.0,174982.67,128459.11,74407.33,249390.0,195340.18,137615.7,54049.82,293000.0,233068.9,198234.97,59931.1,1285000.0,1100550.81,839423.4199999999,184449.19,1451725.0,1221214.1,916392.0700000001,230510.9,975000.0,634021.15,495724.77999999997,340978.85000000003
Somalia,17636606.0,13304227.07,10574691.18,4332378.93,17636606.0,14304628.45,9617881.7,3331977.5500000007,17636606.0,15464022.96,13355641.659999998,2172583.0399999996,17636606.0,11107930.3,9444469.11,6528675.699999999,17636606.0,14469872.51,9788977.12,3166733.4899999998,17636606.0,14041843.4,10566415.61,3594762.599999999,17636606.0,14439560.54,12678803.469999999,3197045.459999999,17619939.0,13821942.01,9723641.51,3797996.99,17421730.0,11405299.370000001,7596175.11,6016430.63
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Sudan,20090000.0,18276144.7,16547120.31,1813855.3000000012,20090000.0,12823289.74,9115760.809999999,7266710.260000002,20090000.0,13617939.73,9376350.100000001,6472060.27,20090000.0,15968824.75,10028856.13,4121175.250000001,19075000.0,17703927.790000003,13151373.209999999,1371072.209999999,8433346.0,6902130.24,5250135.7299999995,1531215.7599999998,8433346.0,6764628.92,5723868.04,1668717.0800000003,8433346.0,5276118.54,4063403.5,3157227.4599999995,8433346.0,5492228.970000001,3615337.17,2941117.0299999993
Sudan,100000.0,75450.24,70898.33,24549.759999999995,100000.0,60455.01,46121.91,39544.99,100000.0,81352.91,67166.42,18647.089999999997,100000.0,89976.19,78491.44,10023.809999999998,100000.0,73350.94,69185.41,26649.059999999998,100000.0,94573.32,64958.25,5426.679999999993,100000.0,79130.93,69572.89,20869.070000000007,100000.0,73703.29,60431.93,26296.710000000006,100000.0,71635.4,50715.18,28364.600000000006
Tanzania,15000.0,10376.25,7572.8,4623.75,15000.0,14131.01,9862.28,868.9899999999998,15000.0,10640.01,8362.37,4359.99,15000.0,11037.01,8862.73,3962.99,15000.0,11722.27,7463.9,3277.7299999999996,15000.0,11788.61,7147.41,3211.3899999999994,15000.0,13559.46,10994.22,1440.5400000000009,15000.0,9198.11,8232.81,5801.889999999999,15000.0,10898.06,7793.95,4101.9400000000005
Togo,188784.0,164644.52,139396.94,24139.48000000001,188784.0,167029.42,118257.7,21754.579999999987,188784.0,145811.12,100862.8,42972.880000000005,188784.0,173961.6,119764.53,14822.399999999994,188784.0,172054.62,142781.64,16729.380000000005,188784.0,157028.68,134058.1,31755.320000000007,188784.0,146866.35,106542.51,41917.649999999994,188784.0,135377.86,115641.91,53406.140000000014,104500.0,82778.23,63456.42,21721.770000000004
Tunisia,9145547.0,6075251.16,4244420.04,3070295.8400000003,9145547.0,7204447.66,5746346.37,1941099.3399999996,9145547.0,6984762.75,5714510.9,2160784.25,9145547.0,6707356.93,5409492.4799999995,2438190.07,9145547.0,7030965.19,6281664.47,2114581.81,9145547.0,6208637.91,4920201.32,2936909.0900000003,6810547.0,6032007.01,3988722.32,778539.99,4249496.0,3161737.8,2303137.4099999997,1087758.2000000002,3459496.0,2410909.77,1938412.6099999999,1048586.23
Uganda,80000.0,73505.09,44799.88,6494.9100000000035,80000.0,54666.31,32954.55,25333.690000000002,80000.0,58319.63,47848.68,21680.370000000003,80000.0,56946.22,54042.21,23053.78,80000.0,71581.14,67394.6,8418.86,80000.0,51431.55,31184.46,28568.449999999997,80000.0,48255.11,33999.79,31744.89,80000.0,50513.24,42670.9,29486.760000000002,80000.0,67156.78,47460.07,12843.220000000001
Zambia,1000000.0,753110.94,467868.6,246889.06000000006,1000000.0,844384.1,798330.85,155615.90000000002,1000000.0,664294.0,489816.32,335706.0,1000000.0,668872.8,431809.01,331127.19999999995,1000000.0,932340.51,804275.4,67659.48999999999,1000000.0,657658.41,602637.84,342341.58999999997,1000000.0,632711.77,435214.24,367288.23,1000000.0,731013.95,535735.16,268986.05000000005,1000000.0,745160.92,544223.94,254839.07999999996
Zimbabwe,6095000.0,5246534.3,3902704.83,848465.6999999997,6095000.0,5221886.87,4332965.78,873113.1300000004,6095000.0,4325315.24,4054236.21,1769684.7599999995,6095000.0,4499352.84,3195312.67,1595647.1600000001,6095000.0,4058022.67,2979676.9499999997,2036977.33,6095000.0,4534264.300000001,3722337.9099999997,1560735.6999999997,6095000.0,5047008.800000001,4584685.17,1047991.1999999996,860941.0,582960.91,439997.11,277980.09,860941.0,660506.52,592484.8899999999,200434.48000000004
Grand Total,180374534.21,143950323.17000002,121276985.30999999,36424211.04000001,180374534.21,137973788.83999997,105931905.32,42400745.37,185834620.96,143953579.86,107416046.00999998,41881041.1,195786507.31,142066171.89000002,104947345.13000003,53720335.42,204568888.61,163168577.29999995,133806283.95,41400311.31,170782042.98333335,130742390.10000001,99045615.78999999,40039652.88333334,169535895.96985295,140722685.04,109163247.67,28813210.92985294,163617081.5153075,119169771.58,93705438.15999998,44447309.93530749,131775793.76032913,103292752.22,76099525.97,28483041.54032913
