Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Maldives,3644780.5,3133353.8,2386282.3899999997,511426.6999999999,3644780.5,3333379.37,2944355.4,311401.1299999999,3644780.5,3020110.72,2297933.64,624669.7799999998,3644780.5,3164636.4299999997,2756876.7199999997,480144.06999999995,3644780.5,2853841.49,2625415.25,790939.01,3644780.5,2868940.3200000003,2227817.05,775840.1799999999,3740122.0,2770425.46,2106577.26,969696.54,3413000.0,2933242.1799999997,2164336.37,479757.8200000001,3963000.0,3471800.8499999996,2799183.2199999997,491199.15
Mongolia,1364788.46,1082591.09,964136.78,282197.36999999994,1693914.0,1329988.68,1042143.46,363925.31999999995,1035662.9199999999,746773.2799999999,534381.22,288889.64,1364788.46,1100650.71,903457.46,264137.75,1335172.46,1151755.67,940319.77,183416.7899999999,1388057.46,1119082.52,882692.7,268974.93999999994,1371135.46,1015525.01,818637.07,355610.4499999999,1628111.04,1390259.44,1089659.53,237851.59999999986,2335188.69,1869954.99,1430891.87,465233.69999999984
Myanmar,5815206.0,4861202.76,3131881.86,954003.2400000002,5815206.0,4529363.08,3812409.82,1285842.92,5815206.0,4870964.93,3022704.9,944241.0700000003,5815206.0,4760424.27,3905308.62,1054781.7300000004,5815206.0,3906428.86,3119618.05,1908777.1400000001,5815206.0,4790519.94,3839411.34,1024686.0599999996,5025000.0,4195980.0,3432678.12,829020.0,6605412.0,4665362.65,4313794.23,1940049.3499999996,5815206.0,5223467.66,3943070.94,591738.3399999999
Nepal,3328770.6666666665,2818438.31,2016932.78,510332.3566666667,3328770.6666666665,2943449.34,2384628.19,385321.32666666666,3328770.6666666665,2484126.29,2262708.58,844644.3766666667,3328770.6666666665,2513041.84,1895878.09,815728.8266666667,3328770.6666666665,3020399.0599999996,2607096.99,308371.60666666686,3328770.6666666665,2626280.6,1985739.52,702490.0666666667,3328770.6666666665,2750996.3200000003,2248435.04,577774.3466666667,3849189.0,3157943.22,2628012.0,691245.7799999998,6582547.390000001,5530482.68,4812936.3,1052064.7100000004
Pacific,15355054.0,13487453.98,11687526.95,1867600.02,15355054.0,11086448.22,9193077.22,4268605.78,15355054.0,11419723.06,10426820.34,3935330.94,15355054.0,11680981.4,8042784.6,3674072.6,15355054.0,13448607.76,11002081.43,1906446.2399999998,15355054.0,13031584.5,11747555.94,2323469.5,15355054.0,11688837.9,8955388.25,3666216.1,44679207.9,34164857.21,29841650.42,10514350.690000001,38111088.94,28936296.4,25018798.9,9174792.540000001
Pakistan,85191629.5032,68084891.03,57868995.53,17106738.4732,85191629.5032,71632133.3,55756064.17,13559496.203200001,92243509.49,70073755.37,58980693.61,22169754.12,86143029.36666667,69470390.28,55218356.88,16672639.086666664,83248291.056,71010689.42,59359372.78,12237601.636000002,83849370.01666667,69129117.77,53524993.92,14720252.246666668,105308414.35666667,84641751.33,67160953.87,20666663.02666667,92417956.62424763,68241474.97,54727098.08,24176481.65424762,89656671.62424763,78180909.85,59169675.71,11475761.77424762
Papua New Guinea,7600112.9725,5580952.68,4689669.69,2019160.2925,7600112.9725,6494928.63,4900345.93,1105184.3424999998,7840418.53,6822410.74,5125946.79,1018007.7899999998,7558437.411071429,6072912.09,4934265.109999999,1485525.3210714285,6354580.08,5384260.300000001,3945296.76,970319.7799999998,7474767.65,6030974.15,5023121.9,1443793.5,8572108.288333334,7585438.52,5726684.64,986669.7683333334,13339474.868333332,11135860.15,8766531.549999999,2203614.7183333337,10742393.596592262,9106821.05,7037591.02,1635572.5465922616
Philippines,1448091.3333333333,1152802.6500000001,945918.6799999999,295288.6833333333,1448091.3333333333,1069646.5,832199.31,378444.8333333334,1448091.3333333333,1115113.58,881266.97,332977.7533333333,1448091.3333333333,1404356.02,946641.3200000001,321564.31333333335,1226407.0,1912311.73,703202.6599999999,441048.26999999996,1627198.0,2279867.59,1046159.92,353409.4099999999,1490669.0,1310214.6,1162286.09,410027.4,1448091.3333333333,1287291.19,976972.13,160800.1433333333,1448091.3333333333,1015815.93,691750.51,432275.4033333333
Sri Lanka,7969321.333333333,6659719.680000001,4926577.359999999,1309601.6533333326,7969321.333333333,6302094.609999999,4770435.09,1667226.723333333,7969321.333333333,13145458.879999999,5166493.87,1948862.4533333334,7969321.333333333,13969716.01,5450622.78,1124605.323333333,7820152.763333333,12477480.1,4108634.87,2467672.6633333326,7881856.523333333,6619883.7700000005,5784410.35,1261972.753333333,8541909.373333333,6767041.79,4664081.47,1774867.5833333333,9431363.32547619,7765028.5,5394450.57,1666334.8254761903,8879699.32547619,7114893.08,6239088.62,1764806.2454761905
Thailand,243323.0,189364.97999999998,162247.32,53958.020000000004,243323.0,190377.57,164873.87,52945.43000000001,243323.0,185636.69,158457.13,57686.310000000005,243323.0,191853.58000000002,137191.6,51469.42,243323.0,173023.48,149372.73,70299.52,243323.0,204084.44,167028.32,39238.56,243323.0,194629.45,160183.34,48693.55,310646.0,239076.63,162507.94,71569.37000000001,176000.0,147410.28,112072.11,28589.72000000001
Timor-Leste,3798442.6,3194657.41,2396769.68,603785.1900000001,3798442.6,2615824.46,1727579.95,1182618.14,3798442.6,2992878.09,2279257.75,805564.5099999999,3798442.6,3286448.43,2744345.71,511994.16999999987,3798442.6,2854891.43,2386321.83,943551.1699999998,3079262.05,2509505.63,2030890.21,569756.4199999999,4597761.79,4095468.5300000003,2765546.26,502293.2599999999,2277562.33,1716395.63,1443006.6400000001,561166.7,12289486.6,9160213.09,7923756.1899999995,3129273.51
Viet Nam,4288148.666666666,3555401.73,2700034.55,732746.9366666666,4288148.666666666,3283408.55,2689951.6,1004740.1166666667,4288148.666666666,3477616.92,2816186.37,810531.7466666666,4314148.666666666,3385838.37,2778678.6799999997,928310.2966666666,4272410.166666666,3533976.84,2855542.58,738433.3266666668,4277887.166666666,3718127.8699999996,2616792.6100000003,559759.2966666669,3947523.1666666665,3133623.75,2637568.44,813899.4166666666,4112918.5,3114398.02,2517322.39,998520.4799999999,5020209.5,3787238.7600000002,2969753.66,1232970.74
Grand Total,1038987397.9557,792668321.7399998,648420345.28,246319076.2157,1039305439.9957002,762330508.09,637181558.78,276974931.90569997,1048712918.0733335,786034385.5000001,663114585.95,269803532.5733333,1038701099.8110716,783109310.91,596902627.9300001,262994617.9010713,1036125729.4760001,832944565.2500001,681932342.27,211433117.22599998,1032754733.73,788005509.7900001,655167175.33,245755302.94,1067410612.515,903106793.0999999,748540597.3800002,164533392.41500002,993378755.1480572,806710592.8499999,683521754.06,186968162.2980571,1211496131.4096491,994657262.5699999,827111138.08,216838868.8396494
