Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Mongolia,3242913.3535714285,2602978.88,1970628.31,639934.4735714287,3242913.3535714285,2394253.97,1907217.02,848659.3835714285,3102833.7107142857,2434273.31,1968525.91,668560.4007142856,3699469.6714285715,2983593.94,2386952.81,715875.7314285714,4422419.817857143,3447665.4,2687768.39,974754.4178571429,2918970.0,2328713.18,1948536.7,590256.82,2627233.9285714286,2232473.28,1754519.69,394760.64857142867,2627232.8571428573,2097501.04,1694685.42,529731.8171428571,2515837.5,2018089.75,1602890.5,497747.75000000006
Myanmar,100000.0,79024.47,71481.41,20975.53,100000.0,80089.57,61821.49,19910.429999999993,100000.0,76976.94,49211.03,23023.059999999998,100000.0,88064.73,55901.67,11935.270000000004,100000.0,83117.8,61059.82,16882.199999999997,100000.0,73604.06,61979.43,26395.940000000002,100000.0,78239.2,65892.0,21760.800000000003,10000000.0,8186166.18,6715684.06,1813833.8200000003,155029.01,131913.18,96312.34,23115.830000000016
Nepal,5209438.0,4342671.85,3062942.83,866766.1499999999,5209438.0,3672267.78,2728797.34,1537170.2200000002,5209438.0,4449587.8,3213492.4399999995,759850.2000000002,5209438.0,4473139.28,3336592.13,736298.7199999999,5209438.0,4159304.71,3139125.21,1050133.29,5209438.0,4152198.96,3145291.65,1057239.0399999998,5209438.0,3701535.44,2642817.37,1507902.56,5209438.0,3882609.44,2824844.6,1326828.56,6906065.0,4793505.99,3578212.0,2112559.01
Pacific,4523540.0,3462415.26,2677402.32,1061124.74,4523540.0,3774737.04,2738559.66,748802.9600000001,4523540.0,3243352.98,2302768.5,1280187.02,4523540.0,3505222.54,3125890.08,1018317.46,4523540.0,3464703.0,2935664.87,1058837.0,4523540.0,3817003.02,3132173.16,706536.98,4523540.0,3942228.67,2883058.15,581311.3300000001,4523540.0,3933525.02,2855418.96,590014.98,5788218.0,4228431.48,3161195.65,1559786.52
Pakistan,133617810.81,105143698.39,87518939.73,28474112.419999998,133617810.81,99985895.36,80768545.89,33631915.449999996,133617810.81,113796004.41,95746199.26,19821806.400000002,137311256.10999998,103303514.15,80663024.33,34007741.96,132479866.561,106065425.87,82880541.12,26414440.691000003,132722065.13,107016448.23,82557813.8,25705616.900000002,188397549.13,159427141.73,127197191.64,28970407.4,131750785.13,111114560.28,86940214.23,20636224.85,127904918.13,107882971.17,80164866.04,20021946.959999997
Papua New Guinea,12325253.739230769,9363845.8,7413041.21,2961407.939230769,12325253.739230769,10484588.05,9073039.15,1840665.6892307692,12325253.739230769,9629814.58,7660500.83,2695439.1592307687,11809565.02,9888133.75,8285528.32,1921431.27,9207960.78,7330608.78,5256722.37,1877352.0,28384189.485,24906034.22,20630095.71,3478155.2649999997,48742508.36,33614647.660000004,24726597.06,15127860.7,14862883.235,10638416.8,9021682.92,4224466.435,12906775.86,11032589.67,8481767.03,1874186.1900000002
Philippines,2870641.0,2526936.66,1993174.78,343704.3399999999,2870641.0,2466438.69,1842135.38,404202.31000000006,2870641.0,2304414.2399999998,1850884.97,566226.76,2870641.0,2074368.07,1644586.35,796272.9299999999,2898198.0,2322530.47,1661916.67,575667.53,3152361.0,2336254.61,1679609.6500000001,816106.3899999999,3483632.75,2682092.47,2120276.65,801540.28,5392858.5,4307882.31,3158002.43,1084976.19,3191453.0,2451953.12,1929077.2,739499.8799999999
Sri Lanka,4367657.0,3435166.85,2817977.6300000004,932490.15,4367657.0,3638397.7800000003,3052083.81,729259.2199999999,4367657.0,3603969.98,2883255.82,763687.02,4367657.0,3429927.44,2860904.61,937729.5599999999,4367657.0,3496684.41,2897842.14,870972.59,4464431.0,3782281.38,2929651.71,682149.6200000001,4892663.0,3830174.12,2883907.74,1062488.88,4354162.0,3572243.0,2856603.7399999998,781919.0,3936277.0,2968823.11,2344547.55,967453.89
Thailand,6701023.0,5434488.7,4046302.84,1266534.3,6701023.0,5342438.12,4814262.21,1358584.88,6701023.0,5048885.38,3693422.12,1652137.62,6701023.0,4855434.73,3883020.24,1845588.27,6701023.0,5519731.41,4561409.72,1181291.59,6701023.0,5549681.72,4186120.7,1151341.2800000003,6701023.0,5536431.6,4533783.45,1164591.4000000001,3593319.0,3041785.51,2670796.42,551533.49,4073070.0,3614234.82,2626290.87,458835.18000000005
Timor-Leste,1525110.0,1269548.91,1032946.4099999999,255561.09,1525110.0,1206737.6099999999,970364.87,318372.3900000001,1525110.0,1298491.22,1165685.45,226618.77999999997,1525110.0,1337031.56,1044782.72,188078.44000000003,1525110.0,1243242.0,994795.9099999999,281868.0,1525110.0,1277676.8800000001,1056710.97,247433.12,3318789.3333333335,2970518.5500000003,2527748.6300000004,348270.78333333315,1262312.0,1128914.65,869034.1499999999,133397.34999999998,1029096.0,802845.23,645595.49,226250.76999999996
Viet Nam,4062266.0,3520531.35,2825243.0,541734.6499999999,4062266.0,3187829.66,2545918.54,874436.34,4062266.0,3150467.8600000003,2484381.13,911798.14,4062266.0,3133765.07,2709660.1,928500.93,5417870.0,4134318.16,3604449.67,1283551.84,4889660.0,4220950.89,3392908.44,668709.1100000002,3674658.0,2805994.84,2134093.94,868663.1599999999,3648443.0,2860218.01,2447638.12,788224.99,5078963.0,4254058.05,3422330.99,824904.95
Grand Total,1242721520.1389368,1022204761.1099999,825882450.01,220516759.02893665,1242721520.1389368,1052430072.2999998,843461512.91,190291447.8389366,1245262422.4960797,918745741.9,718397404.1200001,326516680.59607947,1251610163.287563,943575104.25,701439346.7100002,308035059.03756297,1242588749.0224519,1118143638.6000001,991366217.7499998,124445110.42245191,1259523710.4619281,996503135.4600002,851587883.4100001,263020575.00192812,1334470866.046872,1021203724.75,771824067.31,313267141.296872,607224405.1821429,473872491.7099999,395327608.07,133351913.47214285,657478033.8129412,510058819.0700001,413016909.75,147419214.74294117
