Country,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Maldives,3698215.0,2603058.57,1615554.73,1095156.43,3698215.0,2892589.36,2617183.35,805625.6399999999,3698215.0,2868823.98,2364414.22,829391.0199999999,3698215.0,2754718.6899999995,1849524.3800000001,943496.31,3698215.0,3210958.4,2694188.68,487256.60000000015,3851226.0,3402171.96,2640020.79,449054.0399999999,3541672.0,3102402.3000000003,2711137.73,439269.69999999995
Mongolia,375000.0,280990.06,264422.87,94009.94,375000.0,331824.83,314356.55,43175.169999999984,375000.0,342514.93,248608.02,32485.070000000007,375000.0,323960.32,248122.23,51039.67999999999,375000.0,292222.03,208829.22,82777.96999999997,375000.0,246936.91,227360.01,128063.09,375000.0,340162.94,243305.38,34837.06
Myanmar,2035249.0,1662439.12,1567378.59,372809.8799999999,2035249.0,1439093.33,1203830.06,596155.6699999999,2035249.0,1328523.88,1091689.63,706725.1200000001,2035249.0,1274483.53,825936.56,760765.47,2035249.0,1428072.57,1282422.08,607176.4299999999,2035249.0,1291437.2,820273.52,743811.8,2035249.0,1382076.61,877666.78,653172.3899999999
Nepal,20000.0,14554.44,8874.9,5445.5599999999995,20000.0,13550.46,11456.74,6449.540000000001,20000.0,18933.02,15542.12,1066.9799999999996,20000.0,13850.41,8559.57,6149.59,20000.0,16808.45,11868.79,3191.5499999999993,20000.0,15239.51,14234.21,4760.49,30000.0,24553.91,20030.87,5446.09
Pacific,1445714.2857142857,1132827.0,884549.57,312887.28571428574,1445714.2857142857,1031579.11,805438.71,414135.1757142857,1445714.2857142857,1108102.68,888889.55,337611.60571428575,1445714.2857142857,1143379.02,914324.38,302335.26571428566,1445714.2857142857,1109180.71,876210.12,336533.5757142857,1445714.2857142857,1194784.68,945832.39,250929.60571428572,2040000.0,1429401.48,1065567.9,610598.52
Pakistan,25681769.0,17850342.279999997,13453306.67,7831426.72,25661229.0,19210281.59,13437056.889999999,6450947.41,25046793.6,17043788.05,13821530.660000002,8003005.550000001,24282594.0,19922380.39,15341195.469999999,4360213.61,27112748.833333332,19339967.76,17145173.86,7772781.073333332,27112748.833333332,22502576.580000002,15765696.52,4610172.253333333,14484814.166666668,11175736.28,10237027.59,3309077.886666667
Papua New Guinea,2415071.13,1906290.71,1608206.62,508780.4199999999,2415071.13,1849625.09,1317296.37,565446.04,4122392.13,3736710.65,3354326.23,385681.48000000033,5660134.88,4348870.63,3019495.83,1311264.25,7165134.88,6071905.62,4372192.05,1093229.26,2193722.88,1962516.78,1431849.76,231206.09999999995,1914614.88,1274520.98,1032796.15,640093.9
Philippines,11119328.0,7083661.909999999,4652589.55,4035666.09,11119328.0,8155322.100000001,5926921.27,2964005.8999999994,11119328.0,8625585.68,7426657.19,2493742.32,11119328.0,9708352.809999999,8333387.359999999,1410975.1900000002,11119328.0,8200001.16,6051127.13,2919326.84,10519328.0,8056454.090000001,5811427.39,2462873.91,10519328.0,8092521.050000001,7047445.47,2426806.95
Sri Lanka,5922756.0,4449324.24,3457968.48,1473431.7599999998,5922756.0,3812443.5,2966714.62,2110312.5,5922756.0,4170416.86,2900840.0,1752339.14,5922757.0,4728765.37,3801685.67,1193991.6300000001,5365290.75,4217353.08,3469940.95,1147937.67,4988915.428571429,4009141.96,3469734.33,979773.4685714287,6171940.571428571,5317778.28,4106669.8000000003,854162.2914285716
Thailand,675000.0,454625.74,362491.28,220374.26,675000.0,545785.62,405860.52,129214.38,675000.0,514667.54,408838.64999999997,160332.46000000002,675000.0,508774.7,350565.41,166225.3,675000.0,510721.13,345195.19,164278.87,850000.0,697795.53,529267.16,152204.47,1249000.0,1110850.1,809582.38,138149.89999999997
Timor-Leste,745833.0,635272.94,505394.11,110560.06000000006,745833.0,461446.24,296225.88,284386.76,745833.0,501079.71,463976.43,244753.28999999998,745833.0,598096.21,374977.15,147736.79000000004,123476.0,74467.08,55114.36,49008.92,210896.0,172528.74,127589.41,38367.26000000001,205204.0,188534.51,171902.35,16669.48999999999
Viet Nam,2537268.25,2198453.67,1767622.0100000002,338814.5799999999,2537268.25,1767563.95,1428418.07,769704.3,2198206.5,1588488.57,998005.95,609717.9299999999,2265486.5,1465765.2599999998,1002098.67,799721.2400000001,2307639.0,1549552.22,1011935.41,758086.78,2692185.0,2243719.14,1858258.35,448465.86,3650061.0,3097978.26,2330776.5700000003,552082.7400000002
Grand Total,84317165.1657143,62580869.71,47213133.39999999,21736295.455714285,84305822.1657143,62682087.14000001,47866514.05,21623735.025714286,84736484.14071429,62548835.96,49771655.54,22187648.180714287,86787825.6657143,69476427.97,54507392.419999994,17311397.695714284,89454281.12404762,66720924.21,53028454.12,22733356.914047625,82022666.42761905,65521644.99000001,48456681.97999999,16501021.437619047,79599391.0347619,62153925.38999999,51068924.53,17445465.644761905
