Country,2016 Required,2016 Available,2016 Expenditure,2016 Gap,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Maldives,5384983.333333333,4151665.54,3526769.57,1233317.7933333332,5384983.333333333,4708218.8100000005,3504270.69,676764.5233333332,5384983.333333333,4796400.25,3393550.9000000004,588583.0833333335,5384983.333333333,4426493.03,3478651.42,958490.3033333335,5384983.333333333,4621256.54,3569592.02,763726.7933333333,5384983.333333333,4285601.26,3526518.4899999998,1099382.0733333332,5384983.333333333,3743229.16,3083788.2600000002,1641754.173333333,3508650.0,2791318.52,2288840.97,717331.48,6573150.0,5984504.29,4768787.66,588645.71
Mongolia,7192369.833333333,6005359.58,4874452.68,1187010.2533333334,7194869.833333333,5597438.03,4495237.94,1597431.8033333335,7226960.49,5520375.64,4422733.62,1706584.85,5768037.08,4045863.3400000003,3246258.11,1722173.7399999998,5695031.85,4459046.57,4018488.59,1235985.2799999998,10104474.46,8978531.45,6237972.69,1155943.0099999998,5810822.16,5096668.24,3674797.9400000004,829153.92,7442342.958095238,5624385.13,4331956.18,1817957.828095238,8758335.068095237,6428447.600000001,4866621.41,2329887.468095238
Myanmar,43294030.0,34764888.56,27286767.41,8529141.439999998,43294030.0,30278357.97,24574607.46,13015672.03,43294030.0,36374609.95,31548929.35,6919420.05,43294030.0,33868776.7,28617591.4,9425253.300000003,43294030.0,32635971.839999996,26611159.35,10658058.16,43294030.0,30701708.57,20436184.27,12592321.43,36821483.0,30838831.029999997,22967046.88,5982651.970000002,49766577.0,40347559.64,31961791.55,9419017.36,43294030.0,33220352.57,24404161.380000003,10073677.43
Nepal,18904877.0,16353644.59,13902569.08,2551232.4099999997,18904877.0,16266990.95,12616426.1,2637886.0500000003,18904877.0,14847172.9,11042486.13,4057704.1000000006,18904877.0,14547298.76,11042751.3,4357578.24,18904877.0,15494076.94,10598510.22,3410800.0599999996,18904877.0,15937714.45,14744747.370000001,2967162.55,18904877.0,14314688.15,9809430.0,4590188.85,13608311.83,11575971.09,9081860.620000001,2032340.7400000002,24460162.2,20525172.73,15298633.31,3934989.47
Pacific,22908657.5,19250470.63,15222444.21,3658186.8699999996,22908657.5,18578040.91,15938113.88,4330616.59,22908657.5,17777140.19,14092171.42,5131517.3100000005,22908657.5,18303170.2,13999163.27,4605487.300000001,22908657.5,18182968.62,13539587.03,4725688.88,22908657.5,18053981.69,15205605.87,4854675.81,22908657.5,17028045.68,12934053.31,5880611.82,56000658.8,43711578.36,36324385.11,12289080.440000001,44398138.24,38259319.3,33613352.54,6138818.9399999995
Pakistan,69814126.77666667,53966513.64,45417884.75,15847613.136666667,69814126.77666667,62967727.64,46858217.24,6846399.136666669,121468088.64666666,107274855.78,85430328.03999999,14193232.866666669,53560027.92666666,40929939.44,32891818.549999997,12630088.486666668,76404372.47666666,67381028.37,59283520.14,9023344.10666667,43228834.10666667,35513962.6,29314981.02,7714871.506666667,279283029.18666667,220702619.63,162999802.63,58580409.55666667,99751011.03285715,89743945.14,70094367.85000001,10007065.892857147,109601231.03285715,79509392.59,60489021.23,30091838.442857143
Papua New Guinea,29900564.958,23864958.49,19248799.85,6035606.468,29900564.958,25226491.95,21182866.12,4674073.008,28683916.11,22497205.55,17174141.7,6186710.5600000005,29678976.792333335,23150877.76,18835578.59,6528099.032333333,28694507.8,21306312.490000002,16946891.29,7388195.31,29287926.29,24460271.81,18977764.62,4827654.48,31985826.64,25180363.19,20031450.43,6805463.449999999,30476814.866571426,25485672.82,18778360.38,4991142.046571428,34572465.0518631,28711852.6,21136923.71,5860612.451863096
Philippines,45469982.733333334,39259894.57,30545496.37,6210088.163333332,45469982.733333334,38447531.99,29938916.04,7022450.743333332,45469982.733333334,35758193.78,28420225.76,9711788.953333333,45443514.333333336,39191538.24,33960921.71,6251976.093333333,45041197.333333336,33236577.69,27897104.869999997,11804619.643333333,45528149.0,35313319.52,24490952.47,10214829.48,62077441.5,48287274.32,39242273.35,13790167.18,29259611.5,24658593.6,18890929.02,4601017.9,44143278.57333333,35553800.37,26086179.85,8589478.203333333
Sri Lanka,120981573.66666666,88230414.52,63652440.92,32751159.14666667,120981573.66666666,98214059.82,77152856.53,22767513.84666667,120981573.66666666,85088177.07,66475033.68,35893396.59666667,100275391.22999999,79924937.69,66160107.16,20350453.54,99902827.46000001,76260408.41,61411979.58,23642419.05,100016408.14,74313752.04,53899747.16,25756156.099999994,213872000.65,171764974.42000002,132337070.36,42160526.23,179808641.6732143,147838434.26,107800552.45,31970207.41321429,103198685.74321428,82886421.33,67216104.3,20312264.41321429
Thailand,1088818.5,899886.34,742342.53,188932.16,1088818.5,850897.0,703905.12,237921.5,1088818.5,819193.44,651905.83,269625.06,1088818.5,912033.4099999999,702457.8,176785.09000000005,1088818.5,886831.99,734544.38,201986.51,1088818.5,823069.58,663523.62,265748.92,949000.0,796602.68,630111.98,152397.31999999998,1268637.0,998848.65,795255.58,269788.35000000003,1048818.5,741052.0900000001,575928.53,307766.41
Timor-Leste,2457203.8,1988815.73,1377362.8399999999,468388.06999999983,2457203.8,1738040.1,1329436.3599999999,719163.7,2457203.8,1769102.19,1323653.44,688101.6099999999,2457203.8,1761589.63,1507826.45,695614.1699999999,2457203.8,1858157.17,1562323.96,599046.6299999999,2403211.0,2112002.56,1728219.56,291208.44000000006,3854230.0,3435435.39,2443749.4499999997,418794.60999999987,2231868.0,1984328.2999999998,1622425.4500000002,247539.70000000013,1678200.0,1375872.28,1165908.42,302327.72000000003
Viet Nam,1300517.6666666667,989610.63,810671.52,310907.0366666666,1300517.6666666667,1071163.16,830522.91,229354.50666666668,1300517.6666666667,1056657.04,865317.5800000001,243860.6266666667,1300517.6666666667,1043786.5,866783.38,256731.16666666666,1300517.6666666667,1016428.53,856351.37,284089.13666666666,1300517.6666666667,1000008.72,757577.13,300508.94666666666,1228517.6666666667,969225.96,789239.78,259291.70666666667,1512530.0,1222281.72,916825.91,290248.27999999997,1185653.0,1004320.65,799698.2100000001,181332.34999999998
Grand Total,1672007349.7793336,1365515793.47,1076857178.1,306491556.3093334,1704883233.0480003,1358945203.25,1133018876.1399999,345938029.79800004,1738942228.0066667,1374726053.77,1061306982.6100003,364216174.23666674,1638978125.8823335,1359143271.2700005,1084932166.0500002,279834854.61233336,1647605135.3000002,1373001755.5500002,1132335594.72,274603379.75,1639219765.7600002,1376715052.0899997,1119648090.37,262588213.66999996,2005192191.0702226,2720506747.88,2271453237.23,356990067.19022226,1739824421.8857222,1826281067.2499998,1411894949.3400002,371891939.63572216,1823379772.653931,1515750139.4399996,1223246753.1399999,307629633.2139306
