Country,2017 Required,2017 Available,2017 Expenditure,2017 Gap,2018 Required,2018 Available,2018 Expenditure,2018 Gap,2019 Required,2019 Available,2019 Expenditure,2019 Gap,2020 Required,2020 Available,2020 Expenditure,2020 Gap,2021 Required,2021 Available,2021 Expenditure,2021 Gap,2022 Required,2022 Available,2022 Expenditure,2022 Gap,2023 Required,2023 Available,2023 Expenditure,2023 Gap,2024 Required,2024 Available,2024 Expenditure,2024 Gap
Guatemala,3684821.0,2897591.71,2335593.08,787229.29,3684821.0,2801730.94,2295561.18,883090.06,3684821.0,3145179.94,2450781.21,539641.06,3684821.0,2704576.32,2170236.46,980244.68,3684821.0,3029832.2199999997,2390594.29,654988.78,1788955.0,1417657.7999999998,1074335.51,371297.20000000007,1996955.0,1700621.2,1533393.82,296333.79999999993,1996955.0,1611025.38,1357670.8,385929.62
Honduras,734445.0,530163.99,408545.13,204281.01,734445.0,577987.21,419428.82999999996,156457.78999999998,734445.0,576160.89,438867.93000000005,158284.11,734445.0,573445.5800000001,494248.51,160999.41999999998,734445.0,594965.0800000001,501429.91000000003,139479.91999999998,734445.0,543494.03,412693.07,190950.97,682543.5,563853.62,446874.47,118689.87999999998,682543.5,605551.14,442060.9,76992.35999999996
Mexico,1134450.0,916249.24,763067.4,218200.76,1134450.0,872870.37,737377.01,261579.63,1134450.0,917869.52,785479.16,216580.47999999998,1134450.0,957679.3099999999,699255.3099999999,176770.69,1134450.0,809571.11,604405.9299999999,324878.89,1134450.0,827285.9199999999,635508.11,307164.08,920737.0,685851.51,504690.91,234885.49000000002,920737.0,832024.88,661796.45,88712.12000000001
Panama,15000.0,14149.41,11868.74,850.5900000000001,15000.0,10129.0,7099.19,4871.0,15000.0,11397.52,10310.74,3602.4799999999996,15000.0,12709.42,11370.36,2290.58,15000.0,10731.44,8229.97,4268.5599999999995,15000.0,11978.11,10003.43,3021.8899999999994,15000.0,10016.84,8104.81,4983.16,10000.0,7811.53,5764.69,2188.4700000000003
Paraguay,232000.0,188575.93,150364.8,43424.07000000001,232000.0,193399.09,166256.64,38600.909999999996,232000.0,196067.22,151219.12,35932.78,232000.0,185063.91999999998,143233.36,46936.08,304998.0,255365.48,232861.86,49632.51999999999,403949.0,326664.91,268013.31,77284.09000000001,688606.0,510406.48,381695.25,178199.52000000002,668606.0,517185.43,372531.19,151420.57
Peru,563541.0,465030.68,405813.24,98510.32,563541.0,471184.23,386548.76,92356.77000000002,563541.0,486102.11,449735.04,77438.89000000001,563541.0,414803.32,322838.34,148737.68,563541.0,469483.59,396339.16,94057.40999999997,563541.0,423563.15,329173.44,139977.84999999998,563541.0,412975.94,342843.42,150565.06,563541.0,415536.38,285682.39,148004.62
Uruguay,5333660.0,4201406.029999999,2971186.8,1132253.9700000002,5333660.0,4140050.76,3421124.16,1193609.2400000002,5333660.0,4372938.78,3829478.49,960721.2199999996,5333660.0,4506742.430000001,3487029.9,826917.5699999997,5333660.0,5058501.16,3922363.38,275158.84,5333660.0,5056457.52,3728561.65,277202.48,5333660.0,4019839.77,3056625.05,1313820.2300000002,5322994.0,4417982.46,3322112.75,905011.5399999999
Venezuela,3066250.0,2790952.83,2085612.54,275297.17000000004,3066250.0,2738949.73,2125827.36,327300.2700000001,3066250.0,2582879.0999999996,2014402.8399999999,483370.90000000014,3066250.0,2734601.97,2348268.89,331648.0299999999,3066250.0,2531747.1399999997,1995381.47,534502.8600000001,3066250.0,2369275.4899999998,1687485.8399999999,696974.5100000001,1713405.0,1274909.05,972722.5800000001,438495.94999999995,1556155.0,1143518.29,822218.58,412636.70999999996
the Caribbean,16910977.444444444,13155158.5,10198083.82,3755818.944444444,16910977.444444444,13751481.43,10391252.950000001,3159496.014444445,16910977.444444444,13494124.290000001,10863644.68,3416853.1544444445,16920477.444444444,13315968.4,10863304.24,3604509.044444444,17385462.514285713,14153633.92,10655873.98,3231828.5942857144,17190033.942857143,13375437.15,9655976.08,3814596.792857143,15357885.529411765,11937382.48,9622315.9,3420503.0494117644,14890681.11764706,12688069.12,10333062.19,2202611.997647059
Grand Total,100562915.06176047,80187221.94,64240433.36,20375693.12176046,100562915.06176047,78491246.84,63439483.20999999,22071668.22176046,100460244.8903319,81433696.03000002,64978725.62,19026548.86033189,100826836.01414143,81828752.78000002,62735261.64,18998083.234141417,102084364.5919192,84536276.61,65517489.97999999,17548087.98191919,175016913.56017315,139803951.82,108554544.04,35212961.74017316,128221726.21671334,104692531.21,86722682.64,23529195.006713353,94470759.29383752,77097904.02000001,63453033.31999999,17372855.273837533
